Month,Reengineer,Employee_Turnover,VAR4,VAR5
1,Prior,0,24.390243902,42.682926829
2,Prior,6.0606,19.35483871,25.806451613
3,Prior,12.1212,35.087719298,146.19883041
4,Prior,3.3333,18.404907975,110.42944785
5,Prior,12.9032,17.964071856,23.952095808
6,Prior,9.6774,41.176470588,47.058823529
7,Prior,11.7647,13.422818792,0
8,Prior,11.4286,31.25,25
9,Prior,23.0769,17.24137931,132.18390805
10,Prior,15,16.574585635,16.574585635
11,Prior,10,5.9171597633,88.75739645
12,Prior,26.087,21.164021164,31.746031746
13,Prior,11.1111,5.076142132,10.152284264
14,Post,26.6667,9.7087378641,29.126213592
15,Post,17.9487,4.2016806723,21.008403361
16,Post,12.8205,13.043478261,34.782608696
17,Post,15.7895,9.9502487562,19.900497512
18,Post,0,9.9502487562,9.9502487562
19,Post,30.7692,8.5106382979,25.531914894
20,Post,26.8293,9.2592592593,23.148148148
